
 *GET  ACTIVEUNITS  FROM  ACTI  ITEM=UNIT       VALUE=  5.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2023 R1          23.1     ***
 Ansys Mechanical Enterprise Academic Student      
 01055371  VERSION=WINDOWS x64   10:34:43  APR 04, 2023 CP=      0.422

 test--Harmonic Response (P5)                                                  



          ***** MAPDL POST26 VARIABLE LISTING *****


    FREQ                 6 REAL                      7 IMAG    
                      IMPD_REA                    IMPD_IMA
                      L                           G       
                    REAL       IMAGINARY        REAL       IMAGINARY    
   0.15800E+06   0.00000       0.00000      0.350287E-005  0.00000     
   0.15847E+06   0.00000       0.00000     -0.643329E-005  0.00000     
   0.15893E+06   0.00000       0.00000     -0.267022E-006  0.00000     
   0.15940E+06   0.00000       0.00000     -0.462417E-006  0.00000     
   0.15987E+06   0.00000       0.00000     -0.316986E-006  0.00000     
   0.16033E+06   0.00000       0.00000     -0.569202E-006  0.00000     
   0.16080E+06   0.00000       0.00000     -0.706169E-006  0.00000     
   0.16127E+06   0.00000       0.00000     -0.291848E-005  0.00000     
   0.16173E+06   0.00000       0.00000     -0.421229E-005  0.00000     
   0.16220E+06   0.00000       0.00000      0.487003E-005  0.00000     
   0.16267E+06   0.00000       0.00000      0.681419E-006  0.00000     
   0.16313E+06   0.00000       0.00000      0.957544E-006  0.00000     
   0.16360E+06   0.00000       0.00000      0.907192E-006  0.00000     
   0.16407E+06   0.00000       0.00000     -0.732263E-006  0.00000     
   0.16453E+06   0.00000       0.00000      0.467950E-006  0.00000     
   0.16500E+06   0.00000       0.00000      0.196452E-005  0.00000     
   0.16547E+06   0.00000       0.00000      0.470011E-005  0.00000     
   0.16593E+06   0.00000       0.00000     -0.204500E-005  0.00000     
   0.16640E+06   0.00000       0.00000     -0.546271E-006  0.00000     
   0.16687E+06   0.00000       0.00000      0.445837E-005  0.00000     
   0.16733E+06   0.00000       0.00000     -0.721045E-006  0.00000     
   0.16780E+06   0.00000       0.00000     -0.398848E-005  0.00000     
   0.16827E+06   0.00000       0.00000     -0.201440E-005  0.00000     
   0.16873E+06   0.00000       0.00000      0.272289E-006  0.00000     
   0.16920E+06   0.00000       0.00000     -0.423249E-006  0.00000     
   0.16967E+06   0.00000       0.00000     -0.838348E-005  0.00000     
   0.17013E+06   0.00000       0.00000      0.197677E-005  0.00000     
   0.17060E+06   0.00000       0.00000      0.559721E-006  0.00000     
   0.17107E+06   0.00000       0.00000     -0.234355E-006  0.00000     
   0.17153E+06   0.00000       0.00000     -0.338358E-005  0.00000     
   0.17200E+06   0.00000       0.00000      0.455033E-005  0.00000     
   0.17247E+06   0.00000       0.00000     -0.131055E-005  0.00000     
   0.17293E+06   0.00000       0.00000      0.152203E-005  0.00000     
   0.17340E+06   0.00000       0.00000      0.203260E-005  0.00000     
   0.17387E+06   0.00000       0.00000     -0.519747E-005  0.00000     
   0.17433E+06   0.00000       0.00000     -0.130688E-005  0.00000     
   0.17480E+06   0.00000       0.00000      0.605380E-003  0.00000     
   0.17527E+06   0.00000       0.00000      0.141522E-004  0.00000     
   0.17573E+06   0.00000       0.00000      0.515901E-005  0.00000     
   0.17620E+06   0.00000       0.00000     -0.108940E-005  0.00000     
   0.17667E+06   0.00000       0.00000     -0.239366E-004  0.00000     
   0.17713E+06   0.00000       0.00000      0.144422E-004  0.00000     
   0.17760E+06   0.00000       0.00000     -0.163849E-005  0.00000     
   0.17807E+06   0.00000       0.00000     -0.308608E-006  0.00000     
   0.17853E+06   0.00000       0.00000      0.247340E-005  0.00000     
   0.17900E+06   0.00000       0.00000     -0.112238E-005  0.00000     
   0.17947E+06   0.00000       0.00000     -0.368379E-005  0.00000     
   0.17993E+06   0.00000       0.00000     -0.407182E-006  0.00000     
   0.18040E+06   0.00000       0.00000      0.103387E-005  0.00000     
   0.18087E+06   0.00000       0.00000     -0.249810E-005  0.00000     
   0.18133E+06   0.00000       0.00000      0.401153E-005  0.00000     
   0.18180E+06   0.00000       0.00000      0.469156E-005  0.00000     
   0.18227E+06   0.00000       0.00000     -0.782265E-006  0.00000     
   0.18273E+06   0.00000       0.00000     -0.125539E-005  0.00000     
   0.18320E+06   0.00000       0.00000     -0.180647E-004  0.00000     
   0.18367E+06   0.00000       0.00000     -0.200706E-006  0.00000     
   0.18413E+06   0.00000       0.00000      0.156959E-005  0.00000     
   0.18460E+06   0.00000       0.00000     -0.101677E-004  0.00000     
   0.18507E+06   0.00000       0.00000     -0.727021E-005  0.00000     
   0.18553E+06   0.00000       0.00000     -0.877189E-006  0.00000     
