
 *GET  ACTIVEUNITS  FROM  ACTI  ITEM=UNIT       VALUE=  5.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2023 R1          23.1     ***
 Ansys Mechanical Enterprise Academic Student      
 01055371  VERSION=WINDOWS x64   18:02:32  MAY 15, 2023 CP=      0.391

 test--Harmonic Response (F5)                                                  



          ***** MAPDL POST26 VARIABLE LISTING *****


    FREQ                 6 REAL                      7 IMAG    
                      IMPD_REA                    IMPD_IMA
                      L                           G       
                    REAL       IMAGINARY        REAL       IMAGINARY    
   0.18920E+06   0.00000       0.00000      -825.535       0.00000     
   0.18973E+06   0.00000       0.00000      -818.492       0.00000     
   0.19027E+06   0.00000       0.00000      -811.783       0.00000     
   0.19080E+06   0.00000       0.00000      -805.376       0.00000     
   0.19133E+06   0.00000       0.00000      -799.244       0.00000     
   0.19187E+06   0.00000       0.00000      -793.361       0.00000     
   0.19240E+06   0.00000       0.00000      -787.708       0.00000     
   0.19293E+06   0.00000       0.00000      -782.264       0.00000     
   0.19347E+06   0.00000       0.00000      -777.013       0.00000     
   0.19400E+06   0.00000       0.00000      -771.939       0.00000     
   0.19453E+06   0.00000       0.00000      -767.030       0.00000     
   0.19507E+06   0.00000       0.00000      -762.272       0.00000     
   0.19560E+06   0.00000       0.00000      -757.656       0.00000     
   0.19613E+06   0.00000       0.00000      -753.172       0.00000     
   0.19667E+06   0.00000       0.00000      -748.810       0.00000     
   0.19720E+06   0.00000       0.00000      -744.563       0.00000     
   0.19773E+06   0.00000       0.00000      -740.422       0.00000     
   0.19827E+06   0.00000       0.00000      -736.383       0.00000     
   0.19880E+06   0.00000       0.00000      -732.437       0.00000     
   0.19933E+06   0.00000       0.00000      -728.581       0.00000     
   0.19987E+06   0.00000       0.00000      -724.808       0.00000     
   0.20040E+06   0.00000       0.00000      -721.114       0.00000     
   0.20093E+06   0.00000       0.00000      -717.495       0.00000     
   0.20147E+06   0.00000       0.00000      -713.946       0.00000     
   0.20200E+06   0.00000       0.00000      -710.464       0.00000     
   0.20253E+06   0.00000       0.00000      -707.046       0.00000     
   0.20307E+06   0.00000       0.00000      -703.687       0.00000     
   0.20360E+06   0.00000       0.00000      -700.386       0.00000     
   0.20413E+06   0.00000       0.00000      -697.140       0.00000     
   0.20467E+06   0.00000       0.00000      -693.945       0.00000     
   0.20520E+06   0.00000       0.00000      -690.800       0.00000     
   0.20573E+06   0.00000       0.00000      -687.703       0.00000     
   0.20627E+06   0.00000       0.00000      -684.650       0.00000     
   0.20680E+06   0.00000       0.00000      -681.640       0.00000     
   0.20733E+06   0.00000       0.00000      -678.672       0.00000     
   0.20787E+06   0.00000       0.00000      -675.743       0.00000     
   0.20840E+06   0.00000       0.00000      -672.852       0.00000     
   0.20893E+06   0.00000       0.00000      -669.998       0.00000     
   0.20947E+06   0.00000       0.00000      -667.178       0.00000     
   0.21000E+06   0.00000       0.00000      -664.392       0.00000     
